order_id,order_date,year,month_num,month_name,customer_segment,customer_name,customer_commune,sales_channel,sales_rep,product_line,sku,cut_type,vendor_name,kilos_sold,planned_kilos,unit_price_clp_per_kg,gross_sales_clp,discount_pct,discount_value_clp,return_pct,returns_value_clp,net_sales_clp,raw_material_cost_clp,process_cost_clp,packaging_cost_clp,waste_pct,waste_cost_clp,logistics_cost_clp,admin_cost_clp,total_cost_clp,gross_margin_clp,operating_margin_clp,delivery_on_time_flag,fill_rate_pct,promo_flag,payment_term_days,route_day,temperature_incident_flag,stockout_flag,claim_flag
OC-10001,2025-01-08,2025,1,Enero,Pyme,Carniceria Don Mateo,Providencia,Ruta Comercial,Javiera Soto,Marinados,Costillar a la Chilena 1kg,Costillar,AgroCarnes Chile,58.6,59.7,6680.39,391471,0.0,0,0.0126,4943,386528,261272,21628,12813,0.0138,3598,39163,4543,343016,87217,43511,1,0.9812,0,30,lunes,0,0,0
OC-10002,2025-01-23,2025,1,Enero,Retail,Retail Cordillera,La Cisterna,Convenio,Felipe Morales,Marinados,Costillar a la Chilena 1kg,Costillar,AgroCarnes Chile,653.1,672.3,6636.16,4334074,0.0,0,0.0084,36398,4297676,2901461,288979,146847,0.0244,70806,235935,39319,3683347,889583,614329,1,0.9715,0,30,lunes,0,1,0
OC-10003,2025-01-09,2025,1,Enero,Pyme,Pyme Sabores del Barrio,Cerrillos,Ruta Comercial,Daniela Araya,Cerdo Fresco,Pulpa Pierna 1kg,Pulpa,AgroCarnes Chile,189.3,202.8,5829.55,1103533,0.0,0,0.0242,26746,1076788,768923,56741,32684,0.028,21548,33539,11108,924543,196893,152245,1,0.9333,0,0,viernes,0,0,0
OC-10004,2025-01-27,2025,1,Enero,Pyme,Fiambreria La 10,Quilicura,Ruta Comercial,Daniela Araya,Marinados,Plateada a la Chilena 1kg,Plateada,Frigorifico Sur,136.3,148.3,6954.04,947836,0.05,47392,0.0182,16428,884017,643702,64028,29709,0.0181,11659,37311,13433,799843,134918,84173,1,0.9193,1,15,viernes,0,0,0
OC-10005,2025-01-08,2025,1,Enero,Pyme,Abastos Franklin,Cerrillos,Ruta Comercial,Felipe Morales,Cerdo Fresco,Costillar Tradicional 900g,Costillar,AgroCarnes Chile,105.8,111.8,5733.32,606586,0.0,0,0.0102,6207,600378,413129,45910,18902,0.0351,14516,22130,5063,519650,107921,80728,1,0.9463,0,30,lunes,0,0,0
OC-10006,2025-01-08,2025,1,Enero,Retail,Cadena Vecina,Providencia,Sala,Javiera Soto,Granel HORECA/Pyme,Pulpa Pierna Granel,Pulpa,AgroCarnes Chile,235.5,243.0,4902.35,1154504,0.02,23090,0.0059,6707,1124707,836917,51792,18616,0.0359,30056,83599,33244,1054225,187325,70481,0,0.9692,1,45,martes,0,0,0
OC-10007,2025-01-03,2025,1,Enero,Pyme,Fiambreria La 10,Pudahuel,Venta Directa,Camila Rojas,Cerdo Fresco,Pulpa Pierna 1kg,Pulpa,Proteina Austral,153.8,159.3,5419.0,833505,0.0,0,0.0225,18757,814748,629914,48156,28402,0.0127,8028,54445,6882,775827,100248,38921,1,0.9653,0,7,viernes,0,0,0
OC-10008,2025-01-31,2025,1,Enero,Pyme,Carniceria Don Mateo,Recoleta,Ruta Comercial,Javiera Soto,Cerdo Fresco,Costillar Tradicional 900g,Costillar,Carnes del Valle,100.5,104.5,6083.12,611354,0.0,0,0.0053,3263,608090,393059,49860,17590,0.016,6291,19151,7624,493575,141290,114515,1,0.9615,0,0,lunes,0,0,0
OC-10009,2025-01-12,2025,1,Enero,Retail,Supermercado Andino,Las Condes,Mayorista Retail,Felipe Morales,Cerdo Fresco,Costillar Tradicional 900g,Costillar,Frigorifico Sur,730.2,799.2,5701.76,4163423,0.0,0,0.0,0,4163423,2883893,366569,139986,0.0282,81198,124864,41570,3638081,691776,525342,1,0.9137,0,45,miercoles,0,0,0
OC-10010,2025-01-11,2025,1,Enero,Retail,Retail Cordillera,Penalolen,Convenio,Javiera Soto,Granel HORECA/Pyme,Costillar Granel,Costillar,Carnes del Valle,276.2,306.9,4770.13,1317509,0.0,0,0.006,7881,1309628,1032496,67373,23693,0.0211,21752,198561,24880,1368753,164316,-59125,1,0.9,0,7,miercoles,0,0,0
OC-10011,2025-01-18,2025,1,Enero,Pyme,Fiambreria La 10,Recoleta,Ruta Comercial,Javiera Soto,Congelados,Chuleta Vetada Congelada 1kg,Chuleta,Carnes del Valle,84.1,93.7,6606.89,555639,0.0,0,0.0171,9517,546123,369404,36272,17203,0.0008,303,39906,7961,471050,122940,75073,1,0.8975,0,30,viernes,0,0,0
OC-10012,2025-01-26,2025,1,Enero,Pyme,Carniceria Don Mateo,Las Condes,Venta Directa,Felipe Morales,Cerdo Fresco,Pulpa Pierna 1kg,Pulpa,AgroCarnes Chile,114.3,126.6,5503.98,629104,0.0,0,0.0173,10874,618231,465867,47925,21115,0.0327,15249,51023,9791,610970,68075,7260,1,0.9028,0,30,martes,0,0,0
OC-10013,2025-01-02,2025,1,Enero,Pyme,Distribuciones Nueva Aurora,Estacion Central,Venta Directa,Javiera Soto,Congelados,Chuleta Vetada Congelada 1kg,Chuleta,Carnes del Valle,138.5,142.2,6458.05,894440,0.0,0,0.0182,16316,878124,616535,70343,28802,0.0224,13837,44672,14347,788536,148607,89588,1,0.9742,0,30,martes,0,0,0
OC-10014,2025-01-07,2025,1,Enero,Retail,Cadena Vecina,Maipu,Sala,Nicolas Perez,Congelados,Baby Back Ribs 1kg,Costillar,Carnes del Valle,433.5,477.2,6765.1,2932671,0.0,0,0.0097,28478,2904194,2019329,120444,107463,0.015,30258,219947,26799,2524240,626700,379954,1,0.9085,0,30,miercoles,0,0,0
OC-10015,2025-01-19,2025,1,Enero,Retail,Retail Cordillera,Puente Alto,Mayorista Retail,Nicolas Perez,Cerdo Fresco,Costillar Tradicional 900g,Costillar,AgroCarnes Chile,511.7,570.7,5788.14,2961792,0.0,0,0.0057,16795,2944997,2030247,200356,92861,0.0235,47720,215919,33455,2620557,573814,324440,1,0.8966,0,60,jueves,0,0,0
OC-10016,2025-01-26,2025,1,Enero,Pyme,Pyme Sabores del Barrio,La Florida,WhatsApp Comercial,Felipe Morales,Congelados,Baby Back Ribs 1kg,Costillar,Proteina Austral,93.6,96.3,7588.43,710277,0.0,0,0.0229,16295,693982,449360,41659,21859,0.0065,2933,37566,9990,563368,178170,130614,1,0.9716,0,15,jueves,0,0,0
OC-10017,2025-01-27,2025,1,Enero,Retail,Cadena Vecina,Recoleta,Mayorista Retail,Camila Rojas,Cerdo Fresco,Costillar Tradicional 900g,Costillar,AgroCarnes Chile,285.9,287.7,5356.65,1531466,0.0,0,0.0086,13109,1518358,1150655,139207,53362,0.0207,23763,143904,24437,1535327,151372,-16969,1,0.9939,0,7,martes,0,0,0
OC-10018,2025-01-28,2025,1,Enero,Retail,Minimarket CentroSur,Cerrillos,Mayorista Retail,Felipe Morales,Marinados,Plateada a la Chilena 1kg,Plateada,Proteina Austral,458.9,474.8,6139.69,2817503,0.0,0,0.0149,41892,2775612,2062722,137991,102119,0.0217,44756,224952,20320,2592860,428024,182752,1,0.9666,0,60,martes,0,0,0
OC-10019,2025-01-31,2025,1,Enero,Pyme,Comercial Santa Rosa,Recoleta,WhatsApp Comercial,Javiera Soto,Congelados,Chuleta Vetada Congelada 1kg,Chuleta,AgroCarnes Chile,140.4,148.3,6468.35,908156,0.03,27245,0.0148,13077,867835,631864,72992,30094,0.0298,18815,53813,12225,819803,114069,48031,1,0.9466,1,0,jueves,0,0,0
OC-10020,2025-01-27,2025,1,Enero,Pyme,Carniceria Don Mateo,Estación Central,WhatsApp Comercial,Javiera Soto,Granel HORECA/Pyme,Costillar Granel,Costillar,Carnes del Valle,171.2,176.1,5127.36,877803,0.0,0,0.0133,11663,866141,671281,43029,14898,0.0223,14995,21509,8736,774448,121937,91692,1,0.9721,0,0,jueves,0,0,0
OC-10021,2025-01-07,2025,1,Enero,Retail,Cadena Vecina,San Bernardo,Convenio,Felipe Morales,Congelados,Chuleta Vetada Congelada 1kg,Chuleta,AgroCarnes Chile,559.4,582.6,6312.38,3531143,0.0,0,0.0114,40147,3490996,2334104,230811,124507,0.0002,441,132202,35661,2857726,801133,633270,1,0.9602,0,45,martes,0,0,0
OC-10022,2025-01-31,2025,1,Enero,Pyme,Fiambreria La 10,San Bernardo,WhatsApp Comercial,Javiera Soto,Granel HORECA/Pyme,Costillar Granel,Costillar,AgroCarnes Chile,244.0,269.2,5143.53,1255021,0.0,0,0.0147,18387,1236634,961183,57925,21220,0.0194,18638,39934,9817,1108716,177668,127917,1,0.9065,0,0,martes,0,0,0
OC-10023,2025-01-10,2025,1,Enero,Retail,Retail Cordillera,Maipu,Mayorista Retail,Daniela Araya,Cerdo Fresco,Chuleta Centro 1kg,Chuleta,Proteina Austral,416.3,439.5,5053.21,2103650,0.0,0,0.0191,40264,2063385,1522170,133370,71942,0.013,19829,178817,22694,1948821,316075,114564,1,0.9471,0,45,miercoles,0,0,0
OC-10024,2025-01-30,2025,1,Enero,Pyme,Carniceria Don Mateo,Penalolen,Ruta Comercial,Nicolas Perez,Cerdo Fresco,Chuleta Centro 1kg,Chuleta,Proteina Austral,156.9,165.2,5223.87,819625,0.0,0,0.0107,8807,810818,578774,74993,27083,0.0133,7680,50247,11450,750228,122286,60590,1,0.9498,0,7,viernes,0,0,0
OC-10025,2025-01-05,2025,1,Enero,Retail,Distribuidora Alameda,Cerrillos,Sala,Daniela Araya,Cerdo Fresco,Costillar Tradicional 900g,Costillar,Frigorifico Sur,331.7,341.0,5732.34,1901416,0.07,133099,0.0128,22561,1745756,1363592,144226,61987,0.0319,43477,130232,39984,1783499,132474,-37742,1,0.9727,1,7,jueves,0,0,0
OC-10026,2025-01-29,2025,1,Enero,Pyme,Fiambreria La 10,Huechuraba,WhatsApp Comercial,Camila Rojas,Cerdo Fresco,Pulpa Pierna 1kg,Pulpa,AgroCarnes Chile,52.5,53.3,5607.91,294415,0.0,0,0.0138,4060,290355,209030,21082,9992,0.037,7730,55770,4348,307951,42521,-17597,1,0.9856,0,15,martes,0,0,0
OC-10027,2025-01-18,2025,1,Enero,Pyme,Carniceria Don Mateo,San Bernardo,WhatsApp Comercial,Daniela Araya,Cerdo Fresco,Pulpa Pierna 1kg,Pulpa,Frigorifico Sur,72.7,77.1,5357.86,389516,0.0,0,0.02,7806,381710,284138,32997,13049,0.0232,6593,12684,13498,362957,44934,18753,1,0.943,0,30,jueves,0,0,0
OC-10028,2025-01-17,2025,1,Enero,Pyme,Emporio La Reina,Recoleta,WhatsApp Comercial,Camila Rojas,Granel HORECA/Pyme,Pulpa Pierna Granel,Pulpa,AgroCarnes Chile,57.0,58.0,5173.56,294893,0.0,0,0.0195,5754,289139,201799,14150,4338,0.0165,3330,41942,13446,279005,65523,10134,1,0.982,0,15,martes,0,0,0
OC-10029,2025-01-19,2025,1,Enero,Pyme,Carniceria Don Mateo,La Cisterna,WhatsApp Comercial,Nicolas Perez,Cerdo Fresco,Costillar Tradicional 900g,Costillar,Frigorifico Sur,63.8,69.1,6154.72,392671,0.0,0,0.0253,9946,382725,265138,26901,12051,0.0233,6168,28105,10792,349155,72467,33571,1,0.9232,0,7,martes,0,0,0
OC-10030,2025-01-05,2025,1,Enero,Retail,Distribuidora Alameda,Pudahuel,Mayorista Retail,Nicolas Perez,Cerdo Fresco,Chuleta Centro 1kg,Chuleta,Frigorifico Sur,604.9,648.4,4981.13,3013087,0.0,0,0.0086,25794,2987294,2134488,263982,102668,0.0221,47219,198148,28308,2774814,438936,212480,1,0.9329,0,30,lunes,1,0,0
OC-10031,2025-01-15,2025,1,Enero,Retail,Retail Cordillera,Huechuraba,Sala,Javiera Soto,Cerdo Fresco,Chuleta Centro 1kg,Chuleta,Proteina Austral,753.4,760.5,5136.3,3869689,0.05,193484,0.027,99232,3576973,2788916,266765,127105,0.0312,86900,223969,27844,3521500,307286,55473,1,0.9907,1,60,viernes,0,0,0
OC-10032,2025-01-31,2025,1,Enero,Retail,Mercado Capital,Pudahuel,Convenio,Felipe Morales,Cerdo Fresco,Pulpa Pierna 1kg,Pulpa,Proteina Austral,530.5,562.8,5537.13,2937449,0.0,0,0.0021,6280,2931169,1982160,147349,94828,0.0107,21132,156519,39274,2441262,685701,489907,1,0.9426,0,7,viernes,0,0,0
